symbol,Date,High,Low,Open,Close,signal,pc_sma15c_sma30c,pc_open_close,pc_high_low,pc_low_close
BAND,2020-05-18,1.0718289613723757,1.005676031112671,1.0294660329818726,1.0693750381469729,1.0,-0.06952957653991047,0.03876670418110149,-0.06171967043603882,0.06333949011773302
BAND,2020-05-19,1.2691529989242554,1.0485210418701172,1.066756010055542,1.183068037033081,1.0,-0.05773959826540645,0.10903339271693734,-0.17384189080524387,0.12832073920327727
BAND,2020-05-20,1.2624939680099487,1.1023809909820557,1.1833889484405518,1.1552000045776367,1.0,-0.0438230904734881,-0.023820523167857797,-0.1268227659576678,0.047913574370079856
BAND,2020-05-21,1.3364100456237793,1.128363013267517,1.1560790538787842,1.3092390298843384,1.0,-0.041056259660952825,0.13248226883073788,-0.1556760464630859,0.16029949093513793
BAND,2020-05-22,1.3124639987945557,1.197172999382019,1.31154203414917,1.250749945640564,1.0,-0.03154092166794899,-0.046351612777735564,-0.08784317095053783,0.044752885578108886
BAND,2020-05-23,1.258087992668152,1.1056779623031616,1.2506530284881592,1.1056779623031616,1.0,-0.02379704475097262,-0.11591949396248565,-0.1211441737407885,0.0
BAND,2020-05-24,1.1743810176849363,1.0887800455093384,1.1052080392837524,1.1734880208969116,1.0,-0.03407373607469873,0.06178020715213862,-0.0728902893409701,0.07780081545115598
BAND,2020-05-25,1.23157799243927,1.1151119470596311,1.1694250106811523,1.1373649835586548,1.0,-0.04581378401087574,-0.027415205617864823,-0.09456652042715184,0.01995587667919916
BAND,2020-05-26,1.854835033416748,1.1345620155334473,1.1373649835586548,1.591871976852417,1.0,-0.05654093053330141,0.3996140200058506,-0.3883218749413541,0.40307180661601133
BAND,2020-05-27,1.7093720436096191,1.3235379457473757,1.592039942741394,1.3355239629745483,1.0,-0.058858649418060995,-0.16112408544545753,-0.22571686445011205,0.009056043512529867
BAND,2020-05-28,1.4897849559783936,1.3320260047912598,1.3333040475845337,1.4011659622192385,1.0,-0.06449581065518352,0.05089755390576226,-0.10589377383229649,0.0519058615817441
BAND,2020-05-29,1.683650016784668,1.3592849969863892,1.4010430574417114,1.6046119928359983,1.0,-0.08179547430941687,0.1452981293565677,-0.19265584685927264,0.18048238330704217
BAND,2020-05-30,1.690458059310913,1.4934769868850708,1.6029620170593262,1.5018980503082275,1.0,-0.10100711059881555,-0.06304826045504372,-0.11652526446360835,0.005638562560458639
BAND,2020-05-31,1.6305040121078491,1.505329966545105,1.5087460279464722,1.6177979707717896,1.0,-0.12096952180075063,0.07227985413406263,-0.0767701548927342,0.07471319028133798
BAND,2020-06-01,1.7562129497528076,1.591460943222046,1.6319279670715332,1.680644989013672,1.0,-0.1391942248909398,0.029852434007587206,-0.09381095074714663,0.05603910430316036
BAND,2020-06-02,1.879796981811524,1.667261004447937,1.680644989013672,1.817368984222412,1.0,-0.1573013545567427,0.08135209761877187,-0.11306326130961773,0.09003268197001874
BAND,2020-06-03,1.9621570110321045,1.8147170543670648,1.8147170543670648,1.840625047683716,0.0,-0.1669442479953778,0.014276602104060484,-0.07514177297538771,0.014276602104060484
BAND,2020-06-04,1.8876609802246087,1.7062129974365234,1.840625047683716,1.7343909740447998,0.0,-0.1776224018335868,-0.057716303368034454,-0.09612318350008758,0.01651492319576277
BAND,2020-06-05,1.7572749853134155,1.634158968925476,1.7351160049438477,1.6455270051956177,0.0,-0.17557425629075948,-0.05163285883650718,-0.07006075737542086,0.006956505753914831
BAND,2020-06-06,1.6922509670257568,1.525223970413208,1.6455270051956177,1.5831010341644287,0.0,-0.1771106443609973,-0.03793676483830653,-0.09870107913491687,0.037946599892172465
BAND,2020-06-07,1.7185770273208618,1.5782690048217771,1.5831979513168335,1.68572199344635,0.0,-0.18687748085858183,0.06475756366678069,-0.08164197488303147,0.06808280989887835
BAND,2020-06-08,1.6874810457229614,1.526208996772766,1.6874810457229614,1.5397260189056396,0.0,-0.18601677849817974,-0.08755951789314446,-0.0955696950546205,0.008856599693394598
BAND,2020-06-09,1.5747109651565552,1.4280400276184082,1.548056960105896,1.443513035774231,0.0,-0.18243404890084622,-0.06753234992368345,-0.09314149757226411,0.010835136170256814
BAND,2020-06-10,1.4947320222854614,1.15412700176239,1.4453489780426023,1.1884829998016355,0.0,-0.15839696958215083,-0.17771900222244844,-0.22787029075772575,0.029767952735515992
BAND,2020-06-11,1.344733953475952,1.1497819423675537,1.187811017036438,1.298833966255188,0.0,-0.14987591659444097,0.09346852961151159,-0.1449744096997582,0.12963503634499282
BAND,2020-06-12,1.4481840133666992,1.2679790258407593,1.2991559505462646,1.406849026679993,0.0,-0.13961653512643293,0.08289464870514263,-0.12443514488673593,0.1095207397039971
BAND,2020-06-13,1.4846349954605105,1.350998044013977,1.4081289768218994,1.3544000387191772,0.0,-0.11823140586338454,-0.03815626195264201,-0.09001333786092072,0.002518134441625438
BAND,2020-06-14,1.35978901386261,1.1714979410171509,1.3537249565124512,1.3178720474243164,0.0,-0.1022599731154281,-0.026484633319091063,-0.13847080019465705,0.12494610641831473
BAND,2020-06-15,1.3341120481491089,1.259572982788086,1.3174710273742676,1.2651300430297852,0.0,-0.07891818758544784,-0.03972837599988708,-0.055871667949056694,0.0044118604619468515
BAND,2020-06-16,1.2990349531173706,1.2139309644699097,1.264984965324402,1.2413280010223389,0.0,-0.052852243849917,-0.018701379819163658,-0.06551323999653119,0.022568858818419493
BAND,2020-06-17,1.3614890575408936,1.1982359886169434,1.241405010223389,1.3233790397644043,0.0,-0.0234753460248032,0.06603326784242985,-0.11990773485819715,0.10443940286913478
BAND,2020-06-18,1.3475199937820437,1.2365219593048096,1.322479009628296,1.2587209939956665,0.0,0.005518606251873799,-0.048210984952078456,-0.08237208723389645,0.017952802636305425
BAND,2020-06-19,1.334341049194336,1.26010000705719,1.26010000705719,1.286059021949768,0.0,0.029430467385943442,0.020600757675735788,-0.05563873057939132,0.020600757675735788
BAND,2020-06-20,1.3008320331573486,1.2411279678344729,1.2855689525604248,1.2450439929962158,0.0,0.04665794442093251,-0.03152297625381881,-0.04589682895336108,0.0031552146621718993
BAND,2020-06-21,1.3118150234222412,1.241487979888916,1.2460830211639404,1.3064709901809692,0.0,0.06078197703379032,0.048462235654749275,-0.05361048797097717,0.05234284289878318
BAND,2020-06-22,1.371541976928711,1.2609410285949707,1.307981014251709,1.3030309677124023,0.0,0.08282558483814598,-0.0037844941825386845,-0.08063985659513576,0.033379783957328456
